Bokmål,Nynorsk,Engelsk,"Merknad"
ordinær differensialligning<br>ordinær differensiallikning,ordinær differensiallikning,ordinary differential equation,"Ordinær differensiallikning forkortes ofte til ODE."
funksjonal,funksjonal,functional,
abelsk varietet,abelsk varietet,abelian variety,
skalering,skalering,scaling,
superposisjon,superposisjon,superposition,
kommutativ,kommutativ,commutative,
utvalgsaksiomet,utvalsaksiomet,axiom of choice,
moritaekvivalens,moritaekvivalens,Morita equivalence,
avhengig variabel,avhengig variabel,dependent variable,
ikke-tom,ikkje-tom,non-empty,
eksponentiell vekst,eksponentiell vekst,exponential growth,
spredningsplott,spreiingsplott,scatter diagram,
prøvetakingsfordeling,prøvetakingsfordeling,sampling distribution,
polynomiell vekst,polynomiell vekst,polynomial growth,
lukket under utvidelser,lukka under utvidingar,closed under extensions,
preknippe,preknippe,presheaf,
eksisjon,eksisjon,exision,
idealklassegruppe,idealklassegruppe,ideal class group,
lokalkompakt,lokalkompakt,locally compact,
nilpotent,nilpotent,nilpotent,
nivåflate,nivåflate,level surface,
ettpunktskompaktifisering,eittpunktskompaktifisering,one-point compactification,
p-verdi,p-verdi,p-value,
projektiv dimensjon,projektiv dimensjon,projective dimension,
underbestemt ligningssystem<br>underbestemt likningssystem,underbestemt likningssystem,underdetermined system of equations,
sinus,sinus,sine,
global egenskap,global eigenskap,global property,
polynom,polynom,polynomial,
omegn,omegn,neighbourhood,
randverdi,randverdi,boundary value,
partiell differensialligning<br>partiell differensiallikning,partiell differensiallikning,partial differential equation,"Partiell differensiallikning forkortes ofte til PDE."
kompletthet,komplettheit,completeness,
utvelging,utveljing,sampling,
minimal primærdekomposisjon,minimal primærdekomposisjon,minimal primary decomposition,
kvadratisk form,kvadratisk form,quadratic form,
absolutt integrerbar,absolutt integrerbar,absolutely integrable,
tett,tett,dense,
hilbertfunksjon,hilbertfunksjon,Hilbert function,
koblet hastighet,kopla hastigheit,related rate,
derivasjon,derivasjon,differentiation,"De engelske termene derivation og differentiation er ikke synonymer, selv om begge oversettes til det samme på norsk. <i>Differentiation</i> brukes om det å derivere en funksjon."
tilbakelegging,tilbakelegging,replacement,
midtpunkt,midtpunkt,midrange,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
faktorgruppe,faktorgruppe,factor group,"Synonym: kvotientgruppe"
intervall,intervall,interval,
kvasiisomorfi,kvasiisomorfi,quasi-isomorphism,
kvotientring,kvotientring,quotient ring,"Synonym: faktorring"
varians,varians,variance,
initialverdi<br>startverdi,initialverdi<br>startverdi,initial value,
assosiativ,assosiativ,associative,
parametrisere,parametrisere,parameterize,
overdekningstransformasjon,overdekkingstransformasjon,covering transformation<br>deck transformation,
aritmetikk,aritmetikk,arithmetic,"Ordklasse: substantiv"
multiplikativt lukket delmengde,multiplikativt lukka delmengd,multiplicatively closed subset,
disk,disk,disc,
komplett,komplett,complete,
isolert assosiert primideal,isolert assosiert primideal,isolated associated prime,
simultanfordeling,simultanfordeling,joint distribution,
fase,fase,phase,
folding<br>konvolusjon,falding<br>konvolusjon,convolution,
punktplott,punktplott,dot plot,
annihilator,annihilator,annihilator,
underring,underring,subring,
delbrøkoppspalting,delbrøkoppspalting,partial fraction decomposition,
irrasjonalt tall,irrasjonalt tal,irrational number,
planseparasjonspostulatet,planseparasjonspostulatet,plane seperation postulate,
ekvivalensklasse,ekvivalensklasse,equivalence class,
skjelett,skjelett,skeleton,
per definisjon,per definisjon,by definition,
storsirkel,storsirkel,great circle,
poissonprosess,poissonprosess,Poisson process,
boksplott,boksplott,box plot,
elementær matrise,elementær matrise,elementary matrix,
ytreprodukt,ytreprodukt,outer product,
pol,pol,pole,
liten undermodul,liten undermodul,small submodule,
atlas,atlas,atlas,
momentmetoden,momentmetoden,method of moments,
linjalpostulatet,linjalpostulatet,ruler postulate,
parvis sammenligning<br>parvis sammenlikning,parvis samanlikning,paired comparison,
initialbetingelse<br>startbetingelse,initialvilkår<br>startvilkår,initial condition,
kroppsutvidelse,kroppsutviding,field extension,
algebraisk lukket,algebraisk lukka,algebraically closed,
maksimal undermodul,maksimal undermodul,maximal submodule,
momentgenererende funksjon,momentgenererande funksjon,moment generating function,
blandet partiellderivert,blanda partiellderivert,mixed partial derivative,
minimalt ideal,minimalt ideal,minimal ideal,
enhetspartisjon,einingspartisjon,partition of unity,
sfære,sfære,sphere,
kokjerne,kokjerne,cokernel,
koordinatfunksjon,koordinatfunksjon,coordinate function,
rotasjon,rotasjon,curl,"Curl brukes også på norsk, men rotasjon anbefales."
kofaktormatrise,kofaktormatrise,cofactor matrix<br>matrix of cofactors,
potenskurve,potenskurve,power curve,
matriseligning<br>matriselikning,matriselikning,matrix equation,
direkte grense,direkte grense,direct limit,
geometrisk multiplisitet,geometrisk multiplisitet,geometric multiplicity,
Hilberts nullpunktssats,Hilberts nullpunktssats,Hilbert's Nullstellensatz,
Cohen-Macaulay-ring,Cohen-Macaulay-ring,Cohen–Macaulay ring,
bølgelengde,bølgjelengd,wavelength,
største felles divisor,største felles divisor,greatest common divisor,"Synonym: største felles faktor"
grense,grense,limit,
logistisk funksjon,logistisk funksjon,logistic function,
separasjon,separasjon,separation,
venstrekoherent,venstrekoherent,left coherent,
integrasjon,integrasjon,integration,
pomengde,pomengd,poset,"Pomengde er en forkortelse for delvis ordnet mengde (bokmål) og delvis ordna mengd (nynorsk) og stammer fra <i>partially ordered set</i>."
direkte produkt,direkte produkt,direct product,
ortonormal,ortonormal,orthonormal,
dekomponere,dekomponere,decompose,
trapes,trapes,trapezium,
endomorfi,endomorfi,endomorphism,
potens,potens,power,
ekvivalens,ekvivalens,equivalence,
identitetselement,identitetselement,identity element,
kumulativ fordeling,kumulativ fordeling,cumulative distribution,
nedre grense,nedre grense,inferior limit<br>lower limit,
lineærtransformasjon,lineærtransformasjon,linear transformation,
redusert ring,redusert ring,reduced ring,
kvoteutvalg,kvoteutval,quota sample,
banerom,banerom,orbit space,
fourierrekke,fourierrekkje,Fourier series,
vektorrom,vektorrom,vector space,
sentralgrenseteoremet,sentralgrenseteoremet,central limit theorem,
rett vinkel,rett vinkel,right angle,
integrerbar,integrerbar,integrable,
torsjonsfri,torsjonsfri,torsion-free,
ikke-dekomponerbar,ikkje-dekomponerbar,indecomposable,
dimensjonal,dimensjonal,dimensional,
automorfi,automorfi,automorphism,
kommensurabel<br>sammenlignbar<br>sammenliknbar,kommensurabel<br>samanliknbar,commensurable,
homomorft bilde,homomorft bilete,homomorphic image,
ball,ball,ball,
matriserepresentasjon,matriserepresentasjon,matrix representation,
brøkkropp,brøkkropp,field of fractions,
hypergeometrisk sannsynlighetsfordeling,hypergeometrisk sannsynsfordeling,hypergeometric probability distribution,
diagonalisering,diagonalisering,diagonalization,
korestriksjon,korestriksjon,corestriction,
modulus,modulus,modulus,
enhetsrot,einingsrot,root of unity,
potensial,potensial,potential,
brøkmodul,brøkmodul,module of fractions,
betinget sannsynlighet,vilkårsbunde sannsyn,conditional probability,
yonedaimbedding,yonedaimbedding,Yoneda embedding,
fri modul,fri modul,free module,
konfidens,konfidens,confidence,"Oversettelsen gjelder bruk i statistikk og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
uendeligdimensjonal,uendelegdimensjonal,infinite-dimensional,
avbildningsrom,avbildingsrom,mapping space,
båndmatrise,bandmatrise,band matrix,
cellulær homologi,cellulær homologi,cellular homology,
direkte sum,direkte sum,direct sum,
foldingsintegral<br>konvolusjonsintegral,faldingsintegral<br>konvolusjonsintegral,convolution integral,
stråle,stråle,ray,
hypotenus,hypotenus,hypotenuse,
infinitesimal,infinitesimal,infinitesimal,
entydig,eintydig,unique,
ubestemt matrise,ubestemd matrise,indefinite matrix,
grovere topologi,grovare topologi,coarser topology,
semigruppe,semigruppe,semigroup,
regresjon,regresjon,regression,
eksakt funktor,eksakt funktor,exact functor,
delsum,delsum,partial sum,
sylinder,sylinder,cylinder,
ekvikontinuerlig,ekvikontinuerleg,equicontinuous,
idealgruppe,idealgruppe,group of fractional ideals,
femtegradsligning<br>femtegradslikning,femtegradslikning,quintic equation,
logistisk regresjon,logistisk regresjon,logistic regression,
predikatlogikk,predikatlogikk,predicate logic,
preadditiv kategori,preadditiv kategori,preadditive category,
stasjonært punkt,stasjonært punkt,stationary point,
adjungert par,adjungert par,adjoint pair,
stump vinkel,stump vinkel,obtuse angle,
veikomponent<br>veisammenhengskomponent,vegkomponent<br>vegsamanhengskomponent,path component,
liegruppe,liegruppe,Lie group,
kumulativ fordelingsfunksjon,kumulativ fordelingsfunksjon,cumulative distribution function,
toppvinkel,toppvinkel,vertical angle,
avbildningskjegle,avbildingskjegle,mapping cone,
additiv kategori,additiv kategori,additive category,
ellipsoide,ellipsoide,ellipsoid,
ikke-normal,ikkje-normal,nonnormal,
topologisk,topologisk,topological,
åpen,open,open,
sylow-p-undergruppe,sylow-p-undergruppe,Sylow p-subgroup,
rotasjon,rotasjon,rotation,
deformasjonsretrakt,deformasjonsretrakt,deformation retract,
dobbeltderivert,dobbelderivert,double derivative,
avtagende,minkande,decreasing,
